,Change in Length (mm) Run #1
0,0.00E+00
0.0249,0.005
0.6061,0.0125
3.7031,0.029
6.1441,0.039
7.0325,0.044
8.3111,0.0495
9.2992,0.054
10.9016,0.062
12.9773,0.0705
14.7541,0.0785
16.5475,0.085
17.8013,0.0895
19.2875,0.0965
21.2303,0.1035
22.5588,0.1085
24.3937,0.115
25.9131,0.1205
27.2001,0.1245
28.1134,0.1275
28.8108,0.1295
29.3837,0.132
30.3551,0.136
31.5258,0.1395
32.5471,0.1425
33.2113,0.145
33.8008,0.147
35.3119,0.153
37.1219,0.1585
38.8738,0.164
40.1027,0.1675
41.1156,0.17
42.1119,0.174
43.6065,0.178
44.5696,0.1805
45.3501,0.183
46.1139,0.185
46.6619,0.1865
47.3095,0.189
48.281,0.1915
49.0199,0.1935
49.9083,0.196
51.1288,0.2
52.7562,0.2045
54.3669,0.2095
56.5755,0.216
58.8671,0.222
60.4944,0.2265
62.3542,0.2325
64.0895,0.237
65.0859,0.24
65.6007,0.241
66.0158,0.242
66.2898,0.243
66.5887,0.244
66.9208,0.245
67.0619,0.2455
67.1616,0.246
67.2612,0.2465
67.4522,0.247
67.8258,0.2485
68.3655,0.25
68.9716,0.252
69.6358,0.254
70.3748,0.256
71.1802,0.2585
71.9606,0.261
72.575,0.2625
73.1147,0.2645
73.5797,0.266
74.1277,0.2675
74.7172,0.269
75.2568,0.2705
75.6554,0.2715
75.9128,0.2725
76.2532,0.2735
76.5438,0.2745
76.8095,0.275
77.1831,0.2765
77.6564,0.278
78.1877,0.28
79.2588,0.2835
80.9111,0.2885
82.0818,0.292
82.8705,0.2945
83.4517,0.296
83.734,0.297
83.925,0.2975
84.0994,0.2985
84.2571,0.299
84.5145,0.3
84.6972,0.3005
84.8549,0.301
84.9961,0.3015
85.0874,0.302
85.2036,0.3025
85.3448,0.303
85.5607,0.3035
85.7848,0.3045
86.0588,0.305
86.3494,0.306
86.6732,0.307
87.105,0.3085
87.5616,0.31
87.9353,0.311
88.0266,0.3115
88.1677,0.312
88.3504,0.3125
88.5165,0.3135
88.5912,0.314
88.7074,0.314
88.8403,0.3145
88.9482,0.315
89.1143,0.315
89.1807,0.3155
89.2471,0.316
89.3218,0.316
89.4215,0.3165
89.4879,0.3165
89.5294,0.317
89.629,0.317
89.7204,0.3175
89.9196,0.318
90.1687,0.3185
90.2601,0.319
90.4012,0.3195
90.6171,0.3205
90.6254,0.321
90.9326,0.322
91.2232,0.323
91.2979,0.3235
91.5885,0.3245
91.7878,0.3255
92.0452,0.326
92.3275,0.327
92.4105,0.3275
92.4935,0.328
92.5267,0.328
92.4603,0.3285
92.5018,0.3285
92.535,0.3285
92.4603,0.3285
92.452,0.329
92.4437,0.329
92.4769,0.329
92.4354,0.329
92.5018,0.329
92.5516,0.3295
92.5267,0.3295
92.6015,0.33
92.4935,0.33
92.5267,0.33
92.5184,0.3305
92.643,0.3305
92.726,0.331
92.6762,0.331
92.6513,0.3315
92.7675,0.3325
92.9502,0.3335
93.5314,0.3365
94.5609,0.3415
96.263,0.35
100.514,0.3735
108.8584,0.4235
116.2313,0.4825
119.6687,0.5315
120.8726,0.5595
120.5156,0.5655
119.8596,0.5655
119.6189,0.566
119.569,0.5665
119.6604,0.5675
120.7979,0.5725
121.9021,0.583
122.0516,0.596
122.0101,0.6045
121.7527,0.6075
121.6863,0.61
121.9686,0.6135
122.2342,0.6175
122.6577,0.624
122.94,0.633
123.2721,0.6465
123.4714,0.6605
123.5627,0.672
123.6374,0.681
123.9114,0.6905
123.8533,0.6985
124.0194,0.705
124.4594,0.7165
124.5839,0.728
124.9327,0.7425
124.9659,0.7565
125.1818,0.769
125.4807,0.785
125.4391,0.797
125.8626,0.8105
126.1615,0.83
125.6799,0.8395
125.2731,0.8425
125.9954,0.8495
126.6181,0.865
126.5019,0.877
126.1366,0.8825
126.3774,0.8885
126.9336,0.8995
127.1993,0.9155
127.3322,0.935
127.2159,0.9485
127.2242,0.9575
127.3322,0.9655
127.4069,0.973
127.7141,0.9825
127.8968,0.9945
127.7971,1.005
127.8387,1.013
127.8802,1.0205
128.0462,1.0285
128.2621,1.0385
128.4365,1.0505
128.3866,1.062
128.3617,1.07
128.4116,1.078
128.7935,1.089
128.9928,1.1045
128.9678,1.1195
128.6772,1.1275
128.4614,1.132
128.7437,1.1375
129.1588,1.1465
129.2086,1.1565
129.3747,1.1675
129.3166,1.178
129.4992,1.1885
129.5324,1.2005
129.6404,1.2125
129.8645,1.228
129.7068,1.24
129.5906,1.248
129.3747,1.252
129.3581,1.256
129.8645,1.2625
130.3295,1.275
130.3378,1.292
129.931,1.301
129.7566,1.3065
130.3544,1.316
130.3544,1.326
130.454,1.336
130.7363,1.351
130.6616,1.3645
130.8775,1.3805
130.8692,1.3965
130.5454,1.4045
130.6948,1.4125
130.7114,1.4195
130.6367,1.4245
131.1266,1.434
131.2428,1.4465
131.3341,1.4605
131.1266,1.471
130.9107,1.477
131.0435,1.483
131.3175,1.491
131.5251,1.5015
131.55,1.5125
131.5915,1.5235
131.5998,1.5345
131.5832,1.545
131.5251,1.553
131.4089,1.5585
131.4919,1.564
131.5749,1.5695
131.824,1.577
132.0565,1.5875
132.0814,1.599
132.1727,1.6115
131.9984,1.6225
131.9486,1.631
132.1478,1.641
132.2807,1.652
132.4135,1.665
132.4965,1.679
132.3803,1.691
132.3222,1.7005
132.6045,1.712
132.6709,1.7245
132.7539,1.7375
132.9034,1.753
132.9698,1.77
132.7456,1.782
132.9864,1.794
133.277,1.811
133.3517,1.8305
133.4099,1.8505
133.277,1.864
133.5012,1.879
133.5344,1.8925
133.7171,1.907
134.0243,1.928
134.0326,1.948
134.016,1.965
134.0243,1.979
134.0492,1.991
134.1239,2.003
134.2235,2.014
134.1571,2.0235
134.182,2.032
134.1986,2.04
134.2235,2.0465
134.3564,2.0535
134.7632,2.064
134.8712,2.076
134.8795,2.0885
134.7217,2.099
134.8379,2.11
134.9791,2.123
135.1451,2.138
135.2033,2.155
135.195,2.172
135.0372,2.1845
135.0123,2.194
135.278,2.2065
135.4274,2.2205
135.444,2.2345
135.5105,2.2495
135.4856,2.2625
135.5437,2.275
135.8758,2.291
136.1,2.317
136.0751,2.345
135.7596,2.3605
135.4191,2.368
135.9173,2.378
136.3491,2.3955
136.3906,2.4165
136.3325,2.436
136.3657,2.4535
136.3906,2.47
136.3657,2.4835
136.3657,2.496
136.3823,2.506
136.4072,2.516
136.5317,2.526
136.5649,2.5355
136.4902,2.5435
136.4819,2.5505
136.6563,2.5585
136.814,2.568
136.7808,2.5775
136.8638,2.587
136.9469,2.5975
137.1046,2.611
137.1046,2.6255
136.9884,2.6375
136.8638,2.646
136.814,2.6525
137.0714,2.661
137.1793,2.6705
137.2458,2.681
137.4367,2.694
137.5447,2.7105
137.6526,2.731
137.5115,2.749
137.5115,2.7635
137.5779,2.7785
137.5447,2.7905
137.6443,2.804
137.8436,2.8195
137.719,2.833
137.6692,2.8425
137.3537,2.848
137.6028,2.855
138.0677,2.866
138.2919,2.882
138.35,2.902
138.1259,2.917
137.91,2.9265
137.8187,2.9325
137.9515,2.939
138.4165,2.949
138.458,2.9605
138.458,2.9715
138.4829,2.983
138.4165,2.9925
138.3583,3.001
138.3666,3.008
138.5742,3.016
138.8897,3.028
138.7652,3.0395
138.6738,3.0495
138.6572,3.058
138.8731,3.0685
138.9894,3.081
139.0807,3.0955
138.9977,3.1095
138.9063,3.1205
138.9063,3.1305
138.9146,3.1405
139.0226,3.15
139.1637,3.1615
139.2135,3.173
139.3464,3.186
139.3796,3.201
139.446,3.2165
139.6038,3.237
139.5456,3.2585
139.1554,3.27
138.8731,3.2755
138.9395,3.2805
139.4045,3.2885
139.7781,3.3005
139.5124,3.31
139.4045,3.3165
139.8362,3.3275
139.9691,3.341
139.8944,3.356
139.7532,3.368
139.7034,3.378
139.8529,3.388
139.6453,3.395
139.7864,3.403
139.6619,3.4085
140.1268,3.419
140.1518,3.431
140.0355,3.442
140.2514,3.455
140.1933,3.4685
140.0936,3.4795
140.0936,3.4895
140.0106,3.4975
140.1767,3.507
140.3759,3.5185
140.3925,3.531
140.1601,3.5405
140.1601,3.5485
140.2846,3.5565
140.3261,3.565
140.434,3.574
140.5171,3.584
140.434,3.5925
140.5337,3.602
140.6416,3.6125
140.6084,3.623
140.7413,3.635
140.733,3.647
140.8077,3.6595
140.8658,3.6735
140.9903,3.69
141.0485,3.7085
141.0069,3.7255
141.0485,3.7415
140.9654,3.755
140.899,3.7655
141.0235,3.7765
141.0485,3.7865
141.0651,3.7965
141.1979,3.8065
141.6047,3.824
141.4885,3.842
141.2643,3.8545
141.3557,3.866
141.1232,3.8735
141.1813,3.88
141.3806,3.887
141.912,3.9025
141.9535,3.9215
141.912,3.942
141.8787,3.9605
141.7708,3.9765
141.721,3.9885
141.6214,3.9985
141.6047,4.006
141.5881,4.0125
141.7376,4.019
141.8787,4.026
142.1195,4.035
142.1361,4.0445
142.1776,4.055
142.2441,4.067
142.4267,4.0825
142.5015,4.1005
142.5181,4.122
142.3022,4.1385
142.1527,4.1495
142.1527,4.1585
142.6011,4.1715
142.6841,4.1895
142.4516,4.203
142.2607,4.212
142.5015,4.222
142.8087,4.2375
142.7588,4.253
142.8585,4.2705
142.7837,4.287
142.9,4.304
143.0079,4.324
143.0245,4.345
142.983,4.363
143.0079,4.3795
143.0993,4.3975
143.0411,4.414
142.9,4.426
142.8668,4.436
143.1076,4.4465
143.2155,4.4585
143.5144,4.4745
143.4646,4.49
143.3234,4.503
143.3234,4.514
143.3816,4.5245
143.6223,4.5375
143.5974,4.551
143.6555,4.564
143.5061,4.5745
143.3899,4.5825
143.4563,4.5895
143.6805,4.5975
143.8299,4.6075
143.8714,4.618
143.9378,4.629
144.0541,4.6415
144.0375,4.6545
143.9212,4.666
143.9378,4.6765
144.0707,4.688
143.9129,4.697
143.7718,4.704
144.0043,4.7115
144.0873,4.719
144.2866,4.7285
144.2949,4.7395
144.3198,4.7505
144.2866,4.7615
144.2534,4.771
144.4194,4.782
144.27,4.792
144.2118,4.8
144.4775,4.8105
144.3613,4.8205
144.3115,4.829
144.5772,4.84
144.6436,4.8515
144.6353,4.864
144.8096,4.88
144.6934,4.8955
144.793,4.91
144.8761,4.9265
144.7515,4.941
144.7681,4.9545
144.6685,4.9655
144.6436,4.974
144.7432,4.983
144.984,4.993
145.0255,5.004
145.0338,5.015
145.0753,5.0265
145.1251,5.0385
145.0587,5.05
145.175,5.062
145.258,5.075
145.2331,5.089
145.1833,5.1005
145.1418,5.1105
145.3078,5.122
145.6067,5.1375
145.3908,5.152
145.2995,5.164
145.3576,5.176
145.1833,5.185
145.3078,5.1945
145.532,5.2055
145.6731,5.219
145.5652,5.232
145.2746,5.24
145.341,5.2475
145.7894,5.259
146.0468,5.2775
145.9886,5.2995
145.7894,5.317
145.8143,5.333
145.9969,5.351
146.0551,5.3725
145.9637,5.3915
145.8641,5.4065
145.6233,5.416
145.5154,5.4225
145.2995,5.426
145.4739,5.4305
146.0385,5.439
146.1796,5.448
146.3789,5.46
146.3457,5.4725
146.3291,5.4855
146.2626,5.4975
146.3041,5.5095
146.3789,5.522
146.2875,5.533
146.2377,5.5425
146.2128,5.551
146.2045,5.558
146.5034,5.5675
146.7691,5.581
146.711,5.5965
146.7027,5.612
146.7276,5.6275
146.7442,5.6435
146.794,5.6605
146.7525,5.677
146.4785,5.688
146.5698,5.6975
146.5449,5.7065
146.4536,5.7135
146.902,5.7235
147.068,5.737
146.9933,5.75
147.2673,5.7685
147.0597,5.7845
146.8687,5.796
146.8272,5.8045
146.5698,5.8105
147.1926,5.82
147.3337,5.832
147.4832,5.8475
147.4748,5.8665
147.3088,5.883
147.3586,5.8985
147.4582,5.916
147.5247,5.933
147.5247,5.951
147.533,5.9685
147.425,5.983
147.2507,5.9925
147.3503,6.002
147.4499,6.0115
147.5413,6.021
147.7156,6.032
147.8817,6.0455
147.9896,6.062
147.9149,6.08
147.89,6.097
147.7987,6.112
147.7156,6.124
147.807,6.135
148.1059,6.1505
148.0643,6.167
147.9481,6.1805
148.0145,6.194
148.1557,6.2095
148.2968,6.2285
148.0228,6.243
148.0893,6.2555
148.3799,6.273
148.5542,6.297
148.4795,6.325
148.2885,6.347
148.164,6.3615
148.0893,6.3725
147.8402,6.379
148.0062,6.386
148.0893,6.3925
148.1723,6.399
148.8116,6.412
148.9361,6.431
148.7535,6.4485
148.5625,6.462
148.4546,6.4715
148.3799,6.4795
148.5459,6.4875
148.604,6.496
148.9195,6.507
148.9029,6.519
148.7618,6.529
148.8282,6.5385
148.9029,6.549
148.9029,6.559
148.8531,6.568
148.7452,6.5755
148.6871,6.582
148.8033,6.5885
148.9777,6.5955
149.1022,6.6035
149.1935,6.613
149.1105,6.6225
149.1437,6.6325
149.1354,6.6425
149.1188,6.6515
148.9444,6.6585
148.986,6.6645
149.235,6.673
149.509,6.685
149.6087,6.7015
149.4343,6.7185
149.1437,6.73
149.343,6.7415
149.5007,6.7555
149.5007,6.771
149.2267,6.782
149.2434,6.7915
149.6336,6.8045
149.5672,6.8175
149.5921,6.8305
149.5423,6.8435
149.3845,6.8535
149.3845,6.862
149.8245,6.8745
149.9325,6.892
149.8744,6.91
149.6917,6.925
149.4841,6.9345
149.6585,6.945
149.7913,6.9565
149.8661,6.9685
149.9574,6.982
149.9491,6.9955
149.9657,7.0085
149.9657,7.02
149.9325,7.0315
150.0487,7.044
150.1484,7.0575
150.1235,7.0715
149.9574,7.082
150.2397,7.095
150.2314,7.1085
150.1982,7.121
150.1899,7.134
150.248,7.1465
150.2895,7.16
150.3061,7.173
150.1567,7.1835
150.4639,7.197
150.6548,7.216
150.713,7.2395
150.4805,7.261
150.4057,7.2775
150.4805,7.2935
150.6465,7.3115
150.5801,7.3285
150.3144,7.34
150.0985,7.347
149.974,7.352
150.5801,7.3615
151.153,7.381
151.1696,7.407
150.9122,7.433
150.605,7.4485
150.4307,7.458
150.5967,7.467
150.8458,7.478
151.0534,7.4905
151.0368,7.503
151.0202,7.5155
151.0119,7.5275
151.0617,7.5385
151.0202,7.5485
151.1364,7.5585
151.2526,7.5705
151.4021,7.5845
151.3772,7.5995
151.4104,7.614
151.3025,7.6275
151.3025,7.6395
151.2609,7.651
151.3108,7.662
151.4602,7.6735
151.5764,7.6865
151.701,7.702
151.5183,7.7175
151.3523,7.7285
151.4602,7.7395
151.6429,7.753
151.6263,7.7655
151.8504,7.781
151.8255,7.797
151.9169,7.814
152.0829,7.8375
151.8421,7.858
151.6346,7.8725
151.7342,7.886
151.892,7.9
151.9501,7.9145
151.9999,7.93
152.0995,7.9465
152.0663,7.9625
151.9999,7.977
152.058,7.9905
152.1327,8.0045
152.1493,8.018
